crop_id,yield_min_per_acre,yield_max_per_acre,cost_of_cultivation_min,cost_of_cultivation_max,expected_market_price_min,expected_market_price_max,profit_potential_score,market_volatility_score,pest_disease_risk,primary_success_factors,major_failure_conditions
1,800,1200,25000,40000,150,250,0.80,0.55,Low,"Proper drainage|Partial shade in early growth|Consistent moisture|Organic matter","Waterlogging|Frost exposure"
2,400,700,45000,70000,400,800,0.85,0.65,Low,"Rocky terrain|Cool climate|High altitude|Good drainage","High temperature|Excessive moisture"
3,2000,3500,30000,50000,80,150,0.75,0.50,Medium,"Marshy conditions|High humidity|Organic-rich soil","Drought|Direct sunlight"
4,1500,2500,20000,35000,60,120,0.70,0.45,Low,"Moist soil|Partial shade|Regular harvesting|Weed control","Waterlogging in winter|Nutrient deficiency"
5,300,600,50000,80000,500,1200,0.85,0.70,Medium,"Support structure|Humid conditions|Well-drained soil","Root rot|Cold temperatures"
6,600,1000,22000,38000,120,220,0.78,0.50,Low,"Trellis support|Nitrogen fixation|Good drainage","Waterlogging|Pod borer attack"
7,400,800,40000,65000,200,450,0.82,0.60,Medium,"Shade management|High humidity|Organic mulching|Regular weeding","Waterlogging|Low humidity"
8,600,1000,18000,30000,80,160,0.68,0.40,Low,"Alkaline soil|Low moisture|Full sunlight","Waterlogging|Acidic soil"
9,1000,1800,15000,28000,50,100,0.65,0.35,Medium,"Well-drained soil|Warm climate|Low input costs","Fruit borer|Leaf spot disease"
10,400,700,30000,50000,250,500,0.85,0.60,Low,"Light soil|Dry conditions|Proper curing","Waterlogging|Root rot"
11,1500,2500,35000,55000,100,200,0.72,0.45,Medium,"Marshy soil|High water table|Partial shade","Drought|Leaf blight"
12,3000,8000,25000,45000,30,80,0.75,0.40,Low,"Drought tolerance|Minimal care|Pollination support","Frost damage|Fruit fly infestation"
13,15000,25000,20000,35000,8,20,0.80,0.35,Low,"Sandy soil|Full sunlight|Minimal irrigation","Overwatering|Frost damage"
14,800,1500,40000,65000,150,350,0.82,0.55,Medium,"Partial shade|Organic matter|Proper trellising","Root rot|Nematode attack"
15,500,1500,15000,30000,20,60,0.70,0.30,Low,"Drought tolerance|Pest resistance|Minimal inputs","Frost damage|Waterlogging"
16,2500,4000,35000,55000,60,120,0.78,0.50,Medium,"Waterlogged conditions|Organic matter|Regular harvesting","Drought|Algae competition"
